NAMESPACE,NAME,PF,READY,RESTARTS,STATUS,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,QOS,LABELS,VALID,NOMINATED NODE,READINESS GATES,AGE
chirpstack,chirpstack-network-server-85f8d46fbb-hp2b8,●,1/1,0,Running,2,17,500:500,1024:1024,0,0,1,1,10.42.0.150,pfwilsendh470c,GA,app.kubernetes.io/instance=chirpstack app.kubernetes.io/name=chirpstack-network-server pod-template-hash=85f8d46fbb,,<none>,<none>,5h17m
kube-system,metallb-speaker-9bfm6,●,1/1,1,Running,3,15,0:0,0:0,n/a,n/a,n/a,n/a,192.168.188.22,pfwilsendh470c,BE,app.kubernetes.io/component=speaker app.kubernetes.io/instance=metallb app.kubernetes.io/name=metallb controller-revision-hash=658d8454b5 pod-template-generation=1,,<none>,<none>,102m
chirpstack,mosquitto-666df8b59-rfgrs,●,1/1,4,Running,1,2,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.87,pfwilsendh470c,BE,app.kubernetes.io/instance=mosquitto app.kubernetes.io/name=mosquitto pod-template-hash=666df8b59,,<none>,<none>,3d3h
chirpstack,redis-replicas-2,●,2/2,0,Running,7,12,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.108,pfwilsendh470c,BE,app.kubernetes.io/component=replica app.kubernetes.io/instance=redis app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=redis controller-revision-hash=redis-replicas-7d7d9fd7bd helm.sh/chart=redis-17.0.1 statefulset.kubernetes.io/pod-name=redis-replicas-2,,<none>,<none>,7h34m
chirpstack,redis-replicas-0,●,2/2,0,Running,7,11,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.103,pfwilsendh470c,BE,app.kubernetes.io/component=replica app.kubernetes.io/instance=redis app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=redis controller-revision-hash=redis-replicas-7d7d9fd7bd helm.sh/chart=redis-17.0.1 statefulset.kubernetes.io/pod-name=redis-replicas-0,,<none>,<none>,7h35m
monitoring,loki-distributed-querier-0,●,0/0,0,Pending,0,0,0:0,0:0,n/a,n/a,n/a,n/a,n/a,n/a,BE,app.kubernetes.io/component=querier app.kubernetes.io/instance=loki-distributed app.kubernetes.io/name=loki-distributed app.kubernetes.io/part-of=memberlist controller-revision-hash=loki-distributed-querier-8548bd8bfc statefulset.kubernetes.io/pod-name=loki-distributed-querier-0,container ready check failed: 0 of 0,<none>,<none>,6s
monitoring,loki-distributed-distributor-79ddbdd8c5-5b9vq,●,0/1,0,Error,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.198,pfwilsendh470c,BE,app.kubernetes.io/component=distributor app.kubernetes.io/instance=loki-distributed app.kubernetes.io/name=loki-distributed app.kubernetes.io/part-of=memberlist pod-template-hash=79ddbdd8c5,container ready check failed: 0 of 1,<none>,<none>,6s
flux-system,image-reflector-controller-59d76cccb5-nc6h4,●,1/1,0,Running,0,0,100:1000,64:1024,0,0,0,0,10.42.0.204,pfwilsendh470c,BU,app=image-reflector-controller pod-template-hash=59d76cccb5,,<none>,<none>,4s
monitoring,loki-distributed-compactor-7dd948ffb9-pmvzv,●,0/0,0,Pending,0,0,0:0,0:0,n/a,n/a,n/a,n/a,n/a,n/a,BE,app.kubernetes.io/component=compactor app.kubernetes.io/instance=loki-distributed app.kubernetes.io/name=loki-distributed pod-template-hash=7dd948ffb9,container ready check failed: 0 of 0,<none>,<none>,6s
local-path-storage,helper-pod-create-pvc-b2d1342a-31b3-45d2-99ea-d2ed6c089f9f,●,0/1,0,ContainerCreating,0,0,0:0,0:0,n/a,n/a,n/a,n/a,n/a,pfwilsendh470c,BE,,container ready check failed: 0 of 1,<none>,<none>,5s
monitoring,loki-distributed-gateway-58687f9f97-mwcks,●,0/1,0,ContainerCreating,0,0,0:0,0:0,n/a,n/a,n/a,n/a,n/a,pfwilsendh470c,BE,app.kubernetes.io/component=gateway app.kubernetes.io/instance=loki-distributed app.kubernetes.io/name=loki-distributed pod-template-hash=58687f9f97,container ready check failed: 0 of 1,<none>,<none>,6s
monitoring,loki-distributed-ingester-1,●,0/0,0,Pending,0,0,0:0,0:0,n/a,n/a,n/a,n/a,n/a,n/a,BE,app.kubernetes.io/component=ingester app.kubernetes.io/instance=loki-distributed app.kubernetes.io/name=loki-distributed app.kubernetes.io/part-of=memberlist controller-revision-hash=loki-distributed-ingester-56b78485d7 statefulset.kubernetes.io/pod-name=loki-distributed-ingester-1,container ready check failed: 0 of 0,<none>,<none>,5s
monitoring,loki-distributed-ingester-0,●,0/0,0,Pending,0,0,0:0,0:0,n/a,n/a,n/a,n/a,n/a,pfwilsendh470c,BE,app.kubernetes.io/component=ingester app.kubernetes.io/instance=loki-distributed app.kubernetes.io/name=loki-distributed app.kubernetes.io/part-of=memberlist controller-revision-hash=loki-distributed-ingester-56b78485d7 statefulset.kubernetes.io/pod-name=loki-distributed-ingester-0,container ready check failed: 0 of 0,<none>,<none>,6s
monitoring,loki-distributed-query-frontend-7dbcfc8f4d-crjl6,●,0/1,0,Error,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.199,pfwilsendh470c,BE,app.kubernetes.io/component=query-frontend app.kubernetes.io/instance=loki-distributed app.kubernetes.io/name=loki-distributed pod-template-hash=7dbcfc8f4d,container ready check failed: 0 of 1,<none>,<none>,6s
local-path-storage,helper-pod-create-pvc-59c86c7a-e709-4f97-b374-46d09581fde1,●,0/1,0,ContainerCreating,0,0,0:0,0:0,n/a,n/a,n/a,n/a,n/a,pfwilsendh470c,BE,,container ready check failed: 0 of 1,<none>,<none>,5s
monitoring,loki-distributed-querier-1,●,0/0,0,Pending,0,0,0:0,0:0,n/a,n/a,n/a,n/a,n/a,n/a,BE,app.kubernetes.io/component=querier app.kubernetes.io/instance=loki-distributed app.kubernetes.io/name=loki-distributed app.kubernetes.io/part-of=memberlist controller-revision-hash=loki-distributed-querier-8548bd8bfc statefulset.kubernetes.io/pod-name=loki-distributed-querier-1,container ready check failed: 0 of 0,<none>,<none>,6s
